"","x"
"85","mantap"
"86","Ok"
"87","Ok"
"88","Sangat tidak profesional, saya sudah booking hotel oyo life pratama homestay dan melakukan pembayaran melalui m banking tetapi tidak masuk dikerenakan terlambag pembayaran padahal waktu pembayaran cuma 5 menit dan uang pun nyangkut, udah email ke oyo hotel indonesia dan telpon customer service ny ma...Ulasan LengkapSangat tidak profesional, saya sudah booking hotel oyo life pratama homestay dan melakukan pembayaran melalui m banking tetapi tidak masuk dikerenakan terlambag pembayaran padahal waktu pembayaran cuma 5 menit dan uang pun nyangkut, udah email ke oyo hotel indonesia dan telpon customer service ny malah tidak ada solusi, sampai sekarang blm ada konfirmasi untuk refund, kejadian baru 3 hari lewat. Saya sebagai customer merasa kecewa"
"89","Good"
"90","Oke"
"91","Mantap"
"92","kurang puas karena waktu saya d Jogja itu pernah eror di apk nya masih tersedia kamar namun ternyata sudah penuh,sdh transfer tp dana blm d kembalikan hingga kini"
"93","Aplikasi yg bagus banget. Sangat membantu dlm mencari hotel dg harga bersahabat dan fasilitas yg lumayan.. Terus d tingkatkan yaaa."
"94","Mantap"
"95","OYO ancur parah, OYO 290 saya udh booking jauh² hari, pas sampai ga ada yg jaga, smpai jam 1 malem saya blm istirahat, telpon operator kode booking pin nama nomor tlp smua tdk ditemukan, ga ada yg jaga, GA ADA YG ""JAGA"".... parah saya terlantar nyesel saya pesen hotel di oyo... Ancur, kluarga sodara...Ulasan LengkapOYO ancur parah, OYO 290 saya udh booking jauh² hari, pas sampai ga ada yg jaga, smpai jam 1 malem saya blm istirahat, telpon operator kode booking pin nama nomor tlp smua tdk ditemukan, ga ada yg jaga, GA ADA YG ""JAGA"".... parah saya terlantar nyesel saya pesen hotel di oyo... Ancur, kluarga sodara temen ga bakal saya rekomendasiin ke oyo... TAI"
"96","Cepat Mudah"
"97","Sangat luar biasa...✌👍🙏"
"98","Kecewa bgt bgt rasa nya .. Udah transfer dlu pas chek in pihak hotel nya bilang ga pernah ada harga segtu dan ga lama kemudian bilang nya kalau kamar full , gak masuk akal bgt secara udah booking dr jauh2 hari , udah bayar pula . . . Dan jam setngah 12 malem di suruh cari hotel lain . Gilak !!! . Se...Ulasan LengkapKecewa bgt bgt rasa nya .. Udah transfer dlu pas chek in pihak hotel nya bilang ga pernah ada harga segtu dan ga lama kemudian bilang nya kalau kamar full , gak masuk akal bgt secara udah booking dr jauh2 hari , udah bayar pula . . . Dan jam setngah 12 malem di suruh cari hotel lain . Gilak !!! . Sekrg minta refund uang nya berbelit2 bgt . Disuruh buka link , tp link nya ga bisa di buka . Gak recomend bgt ini aplikasi . Klo ga mau di bilang penipu balikin duit gueeeee woy !!"
