"","text"
"318","hotel enggk l promo kamar ganti voucher atur promo kamar hilang promo jalan minat kecewa"
"319","ganti kena charge piye iki"
"320","reward paket data gb pesan hotel aplikasi pesan november masuk reward paket data gb parah"
"321","okey"
"322",""
"323","top"
"324","muas is the best"
"325","good"
"326","bantu"
"327","good"
"328","good"
"329","kalo cancel kali pesan blokir nginstall"
"330","ok"
"331","banyak uang haram ya kemarin pesan kamar bayar via transfer stlah uang transfer pesan langsung batal uang kembal bangsat enak ya ambil uang orang"
"332","top"
"333","keren habis"
"334","moga muas"
"335","respon cepat"
"336","baik"
"337","muas samping harga relatif murah n nyaman kualitas hotel bagus"
"338","cool"
"339",""
"340","tanggung hubung"
"341","oke"
"342","cespleng"
"343","reward poin krg asyik"
"344","mantap nyaman hotel maju"
"345","ok banget"
"346","ok"
"347","hebat"
"348","muas"
"349","ayan buruk pesan aplikasi bayar hotel hotel kamar penuh suruh telp call center pakai pulsa pribadi pilih paksa kalo refund tunggu uang cair ulas lengkappelayanan buruk pesan aplikasi bayar hotel hotel kamar penuh suruh telp call center pakai pulsa pribadi pilih paksa kalo refund tunggu uang cair carik cabang itu tunggu jam tambah biaya kalo harga booking via app cuman susah orang"
"350","boking desember desember id mesan qthk lj hotel bandung cek jam siang kaget bokingan hotel cancel desember alas hubung hp aktif riwayat ulas lengkapsy boking desember desember id mesan qthk lj hotel bandung cek jam siang kaget bokingan hotel cancel desember alas hubung hp aktif riwayat telepon hotel tuju harga hotel cancel tanggung hotel acara berantak"
"351","manfaat mudah pesan kamar libur"
"352","banyak ya diskon"
"353","ekonomis nyaman"
"354","mantap lokasi baik cari daerah lari jakarta"
"355","bantu"
"356",""
"357","aplikasi murah hotel murah harga hotel mahal najis gue hapus aplikasi rugi pakai aplikasi saran gue pakai aplikasi kecewa pokok profesional ayan kualitas anjing pokok"
"358","good"
"359","pesan pas hotel staf bilang penuh konfir aplikasi penuh pindah penuh aplikasi sedia kamar kosong kecewa"
"360","wokee"
"361","coba"
"362","kamar penuh kasih tau ngembalikan uang"
"363",""
"364","ku ya"
"365","bagus"
"366","mantap"
"367","t o p b t"
"368","langgan apk terbaek"
"369","hotel top markotop makyus"
"370","bagus"
"371","layan bagus kamar bersih inap"
"372","simpel mudah"
"373","the best"
"374","the best app for booking hotel"
"375","hotel baik bersih nyaman"
"376","beres"
"377","bagus"
"378","ok"
"379","hotel harga rban diskon an app tuh hotel hrganya ribu"
"380","good hotel"
"381","oke"
"382","kali pesan hotel mudah kesel pesan hotel bayar opsi bayar bayar sisa pilih bayar transfer aplikasi bayar sisa nilai tambah ulas lengkapbaru kali pesan hotel mudah kesel pesan hotel bayar opsi bayar bayar sisa pilih bayar transfer aplikasi bayar sisa nilai tambah pas bayar lapor mesan cancel refund proses tunggu sms banget"
"383","keren mudah book hotel"
"384",""
"385","booking aneh ya bayar sis singkat konfirmsi telepon sms tercancel tolong batal tengat suai guna bayar sisa ulas lengkapcara booking aneh ya bayar sis singkat konfirmsi telepon sms tercancel tolong batal tengat suai guna bayar sisa jarak"
"386",""
"387","kayak kalah saing retdoors kalo harga hotel atas an kualitas kamar mending pilih kompetitor bitu merah"
"388","mudah pilih"
"389","buruk"
"390","good"
"391","asu daftar anjeng apk haram asu hack play store anjeng susah orang asu"
"392","ok"
"393","sayang kecewa ayan kecewa berat kali mal u olehh ayan grand raudhah pasang suami istri olah pasang suami istri"
"394","sip"
"395","oke fix unistal"
"396","ok"
"397","aplikasi manfaat mantap"
"398","invoice transparan checout tolong baik tampil invoice detail customer tau total invoice bayar"
"399","mudah murah bantu"
"400","good"
"401",""
"402","top"
"403","simple"
"404","matap"
"405","bantu aplikasi"
"406","ok"
"407","cepat mudah"
"408","mantab"
"409","mantab"
"410","tolong update kali tutup aplikasi notif masuk kali ganggu thanks"
"411","alternatif bayar ya kecuali kartu kredit"
"412","keren"
"413","ih niat hati pakai app libur ahir komennya ngeri takut pakai app aah cari app"
"414","pesan kamar bayar pakai kartu kredit tagih lapor uang kembala uang nama maling uang konsumen"
"415","bagus banget"
"416","mudah"
"417",""
"418","terimakasih"
"419","mantan"
"420","mudah cari mantap"
"421","oke banget"
"422","keren bro"
"423","good by the time thx"
"424","nice price"
"425","harga murah hotel bersih aman puas langgan no"
"426","good"
"427","great bersih keren"
"428","thx hehehe"
"429",""
"430","tarif jangkau ayan kmrnya bersih rapi"
"431","bersih"
"432","mantap"
"433","refund desember sd kelar pulsa keluar telepon ikhlasin"
"434","bersih nyaman"
"435","alam buruk teras kasih kamar no pas kamar parah gawai bersih tidur an kasur dangdut alam buruk management teras buruk"
"436","lumayan banding"
"437","hebat respon cepat trimakasih"
"438","ok"
"439",""
"440","iyes"
"441","the best"
"442","keren"
"443","inap cbr residence malang bersih lokasi mudah jangkau ayan ramah"
"444",""
"445","cepat hubung cari hitel murah"
"446","kecewa keluh solusi baik call centre hubung pulsa habis duluan"
"447","ok"
"448","bagus"
"449","bagus"
"450","bagus cepat update info bayar muncul"
"451","mantap"
"452","mantap"
"453","top markotop recomend"
"454","ok banget"
"455","hotel full pesan kali alami order kayak refund dana bulan kirim"
"456","mantaps"
"457","pikir"
"458","variasi inap lumayan lengkap tolong harga jangkau cekin jam denda tolong timbang"
"459","cepat"
"460","hotel parah pesan aplikasi bayar minggu check tempat check kamar kasih orang cabang semarang jl unta residence parah sistem"
"461","update menu pesan klik halaman lihat pesan bayar"
"462","ok"
"463","jelek langsung uninstall"
"464",""
"465","libur enak inap tinggal buka aplikasi mana"
"466","simple mudah bagus murah"
"467","isnagdxw"
"468","nice"
"469","alun alun"
"470","ok"
"471","lupa masuk id rizk ku b log tambah point"
"472","managementnya booking hotel dp konfirm aplikasi alhasil hangus telp costumer service omong transfer konfirm mati telpnya ketuk hotel respon kontak hotel tera hubung ulas lengkapga managementnya booking hotel dp konfirm aplikasi alhasil hangus telp costumer service omong transfer konfirm mati telpnya ketuk hotel respon kontak hotel tera hubung"
"473","bagus moga kembang promo diskon"
"474","good"
"475","suka banget murah riah bersih"
"476","good"
"477","hebat"
"478","good"
"479","ayan harga kompetitif november desember kupon promosi palembang kabur ah payah"
"480",""
"481","bagus"
"482",""
"483","ok"
"484","rating ya lihat kamar pesan suai photo asli"
"485","baik harga murah terima kasih"
"486","recommended bayar transfer bayar masuk lari kmna"
"487","muas"
"488","hebat"
"489","kecewa cancel gara gara salah pilih tempat uang ambil ribet terima kasih"
"490","good"
"491","mantap"
"492","keren"
"493","bagus"
"494","mantap sukses"
"495","nice"
"496","harga murah pas dtng kak hotel mahal kecewa"
"497","hotel asyra parah banget kamar hilangpadahal pesan"
"498","usul sedia ruang rokok nyaman larang rokok kamar kalo bijak rokok kamar bagus"
"499","oke"
"500","recomend harga murah nyaman"
"501","ok banget"
"502","mantap"
