"","x"
"282","Semoga info nya bisa lebih tepat.."
"283","bagus. sering sering kasih promo 99rb yaa. hehe"
"284","Nyaman"
"285","Aman mantap dan cepat ga ribet booking nya"
"286","Mantap mempermudah kita untuk mencari penginapan yg sesuai dana"
"287","Sangat memuaskan fasilitasnya"
"288","Ok"
"289","👍👍👍"
"290","RedDoorz terbaik lah. 👍👍👍👌👌"
"291","Kereeen"
"292","Mantap"
"293","customer yg tidak ada respon. kontol.. aplikasi ANJENG. gw pesen kamar sudah bayar di indomaret, dan ga sampe satu jam saya batalkan, karna temen saya udah pesen. eh uang nya malah di potong 100%. gile bener ni aplikasi.. kalau mau malak jangan kek gitu KONTOL.. saya gak akan ikhlas uang saya kalian...Ulasan Lengkapcustomer yg tidak ada respon. kontol.. aplikasi ANJENG. gw pesen kamar sudah bayar di indomaret, dan ga sampe satu jam saya batalkan, karna temen saya udah pesen. eh uang nya malah di potong 100%. gile bener ni aplikasi.. kalau mau malak jangan kek gitu KONTOL.. saya gak akan ikhlas uang saya kalian makan.. HARAM"
"294","Oke"
"295","Keren gampang bgt pesennya mantabh lah pokoknya"
"296","Keren"
"297","Tergantung penginapan, yg sering aku tempatin sih ok"
"298","I love it"
"299","Baik"
"300","Baguslah, rekomended"
"301","Sudah bayar, nyampek hotel kamar penuh, gk ada konfirmasi sama sekali, sampai malam terlantar!! CS di tlp gk respon. APAKAH ANDA MAU MERAMPOK KAMI SECARA HALUS? SAYA TUNGGU PERTANGGUNG JAWABANNYA SAMPAI BESOK!"
"302","Baik"
"303","Good"
"304","Manrap"
"305","Aplikasinya memudahkan sya menemukan Hitel yang sesuai"
"306","Masih oke, hotel bagus murah"
"307","Good"
"308","Pertama pesan.. semoga kamarnya sesuai fc"
"309","Sudah lumayan masih perlu peningkatan"
"310","Super Good"
"311","Mantul pelayanan cepat tanggap"
"312","Bagus"
"313","masalah saya ga kelar2 hampir 2minggu"
"314","Baik"
"315","Good, memuaskan"
"316","Gampang pesennya, bisa bayar di tempat"
"317","Bagus"
"318","Semua fasilitas ok kaga ada kendala yg berarti tapi boleh dong kasih masukan tolong di depan kamar mandi di kasih kain kan abis dari kmr mandi basah dong..tolong di perhatikan ya pihak pengelola tapi ok lah semua nya thanks"
"319","Aplikasi mudah dan aman"
"320","Cepat. Tp blum sampai menempati hotel jadi blm bs kasih full star"
"321","Bagus"
"322","Coba"
"323","Mantaaaapp"
"324","Lumaian baik"
