"","x"
"133","Wah awas hati2... hotel udh di bayar tau nya d batalkan pihak agoda liburan jadi batal n gagal.. lalu pengembalian dana pun pihak agoda menolak.. gimna ini agoda saya udh kasih rekening untuk pengembalian dana pun masih di tolak juga.. ribet nya minta ampun agoda.. kecewa sama agoda"
"134","Jaringan hotelnya luas, beragam dan terpilih....pokoknya kami sangat terbantu.. . Diskonnya kerenz.."
"135","Sangat mudah dalam penggunaannya, good luck agoda"
"136","pengembalian dana terlalu lama harus menunggu lebih 90hari dan prosesnya terlalu repot.efek terlambat memesan."
"137","Jos"
"138","Anjing babi nih aplikasi."
"139","Saya booking hotel salah tanggal dan pembatalan di hari itu juga setelah membayar semua nya baru tau kalo tanggal bookig hotel nyaa salah , saya lalu melakukan pembatalan stelah itu ,pihak Agoda mengirimkan Gmail, dan uang saya bisa kembali , tapi setelah saya tunggu sampe skrg sudah hampir 5 hari t...Ulasan LengkapSaya booking hotel salah tanggal dan pembatalan di hari itu juga setelah membayar semua nya baru tau kalo tanggal bookig hotel nyaa salah , saya lalu melakukan pembatalan stelah itu ,pihak Agoda mengirimkan Gmail, dan uang saya bisa kembali , tapi setelah saya tunggu sampe skrg sudah hampir 5 hari tidak ada jawaban dari pihak Agoda , dan tidak dikirim ke Agoda tunai"
"140","Mantap"
"141","Pemesanan saya juga tidak berhasil di properti oyo urban 18 juga tidak masuk padahal sudah bayar lewat alfamart sukses no call center agoda juga gk bisa di hubungi perlu di ingat ini sudah meresahkan castamer dan tidak ada tanggung jawab dari agoda sampai malam ini gk ada jawaban ini sudah penipuan"
"142","Ok"
"143","Penipu! Fail app!"
"144","Baik"
"145","Sangat membantu."
"146","Aplikasi penipu"
"147","Banyak pilihan"
"148","Saya sudah transfer lewat alfa tapi malah dicancel"
"149","Applikasi simple cepat response n selalu ada harga promote nya Mau Cari hotel ke AGODA saja..😋"
"150","Aplikasi tanpa pelayanan yang baik.. pengalaman buruk dengan agoda.. saya melakukan pemesanan saya bayar melalui indomaret setelah tiba di hotel ternyata pemesanan saya terkendala.. saya harus menunggu hingga akhirnya bisa di cancel dan saya harus pesan ditempat.. pengembalian dana ribet saya harus ...Ulasan LengkapAplikasi tanpa pelayanan yang baik.. pengalaman buruk dengan agoda.. saya melakukan pemesanan saya bayar melalui indomaret setelah tiba di hotel ternyata pemesanan saya terkendala.. saya harus menunggu hingga akhirnya bisa di cancel dan saya harus pesan ditempat.. pengembalian dana ribet saya harus melalui proses ribet seperti memgirim foto buku rekening, ktp, dll.. hingga akhirnya saya harus memilih dimasukkan ke saldo agoda yang akhirnya terbuang prcuma karena tidak terpakai.. saya cuma driver"
"151","Sangat memuaskan"
"152","Bagai mana tentang biaya cancel saya?? Kenapa tidak ada respon"
"153","Saya tidak pernah ikhlas uang saya tidak di kembalikan ..tolong kembalikan saya melakukan pembayaran hotel lewat agoda setelah pembayaran di batalkan otomatis .tolong kembalikan uang saya"
"154","Murah meriah"
"155","Kereeennnnn.....sangat membantu"
"156","Cepat"
"157","oke mantap pelayanan"
"158","Saya pesen hotel di Agoda yang hotel pertama sudah dapat e tiket yang ke 2 sampe sekarang belum dapat pdahal sudah bayar dari 3 hari yang lalu Gimana ini kelanjutannya Agoda saya sdh bayar penuh, no yang saya hubungi juga ga bisa2 tolong ya pertanggung jawabannya"
"159","😎👍"
"160","Malam tahun baru tolong harga di sahabatkan cs"
"161","Mntab"
"162","Woe agoda gimana ini? Kartu kredit pcr sya kena hack.. ada transaksi agoda, kenapa pihak agoda susah sekali di hubungi? Dan juga di email tidak ada respon!"
"163","Ok"
